법정동시군구코드,법정동읍면동코드,법정동지번코드,법정동본번코드,법정동부번코드,도로명,도로명시군구코드,도로명코드,도로명일련번호코드,도로명지상지하코드,도로명건물본번호코드,도로명건물부번호코드,법정동,단지명,지번,전용면적,계약년도,계약월,계약일,거래금액,층,건축년도,단지일련번호,해제여부,해제사유발생일,거래유형,중개사소재지,등기일자,아파트동명,매도자,매수자,토지임대부아파트여부
41135,10100,1,0066,0000,분당로263번길,41135,4340156,01,0,00024,00000,분당동,장안타운(건영),66,85.0,2025,6,6,103000,8,1993,41135-32,None,None,중개거래,경기 성남시 분당구,25.09.08,115,개인,개인,N
41135,10300,1,0011,0000,정자일로213번길,41135,4340130,01,0,00005,00000,정자동,현대I-PARK3,11,84.92,2025,6,25,175000,7,2003,41135-240,O,25.08.07,중개거래,경기 성남시 분당구,None,None,개인,개인,N
41135,10100,1,0066,0000,장안로51번길,41135,4340382,01,0,00031,00000,분당동,장안타운(건영),66,53.72,2025,6,19,78000,7,1993,41135-32,O,25.09.02,중개거래,경기 성남시 분당구,None,None,개인,개인,N
41135,10600,1,0117,0000,양현로94번길,41135,4340315,01,0,00028,00000,이매동,이매촌(동신3),117,117.12,2025,6,27,174000,3,1992,41135-222,None,None,중개거래,경기 성남시 분당구,25.11.27,306,개인,개인,N
41135,10800,1,0637,0000,판교원로,41135,3180052,01,0,00237,00000,판교동,판교원마을7단지(모아미래도),637,56.555,2025,6,1,117000,14,2009,41135-439,None,None,중개거래,경기 성남시 분당구,25.10.01,704,개인,개인,N
41135,10100,1,0066,0000,장안로,41135,3180057,01,0,00015,00000,분당동,장안타운(건영),66,101.82,2025,6,9,115000,10,1993,41135-32,None,None,중개거래,경기 성남시 분당구,25.07.30,127,개인,개인,N
41135,10600,1,0111,0000,양현로,41135,3180042,02,0,00138,00000,이매동,이매촌(진흥),111,101.89,2025,6,26,180000,12,1993,41135-95,None,None,중개거래,경기 성남시 분당구,25.12.12,807,개인,개인,N
41135,11400,1,0220,0000,미금로,41135,3180016,02,0,00066,00000,구미동,무지개(4단지)(주공),220,58.14,2025,6,27,96440,10,1995,41135-220,None,None,중개거래,경기 성남시 분당구,25.09.09,403,개인,개인,N
41135,10300,1,0028,0001,성남대로,41135,2000005,02,0,00449,00000,정자동,로얄팰리스,28-1,244.49,2025,6,27,277000,30,2003,41135-70,None,None,중개거래,경기 성남시 분당구,25.08.14,디동,개인,개인,N
41135,10100,1,0038,0000,수내로,41135,3180039,01,0,00181,00000,분당동,샛별마을(우방),38,133.86,2025,6,30,182000,10,1994,41135-21,O,25.08.26,중개거래,경기 성남시 분당구,None,None,개인,개인,N
41135,11000,1,0555,0000,판교역로,41135,3179025,02,0,00100,00000,백현동,백현마을6단지(주공),555,84.73,2025,6,26,240000,10,2009,41135-470,None,None,중개거래,경기 성남시 분당구,25.09.19,601,개인,개인,N
41135,10700,1,0188,0000,돌마로,41135,3180007,04,0,00906,00000,야탑동,SK-VIEW,188,122.731,2025,6,6,98000,8,2003,41135-236,None,None,중개거래,"경기 성남시 중원구, 경기 하남시",25.09.09,101,개인,개인,N
41135,10800,1,0585,0000,서판교로,41135,3180044,01,0,00029,00000,판교동,판교원마을9단지(한림풀에버),585,84.9907,2025,6,29,110000,12,2009,41135-444,None,None,직거래,None,25.07.25,920,개인,개인,N
41135,10100,1,0034,0000,분당로,41135,3180026,01,0,00190,00000,분당동,샛별마을(라이프),34,84.99,2025,6,24,144500,5,1992,41135-19,None,None,중개거래,경기 성남시 분당구,25.09.25,102,개인,개인,N
41135,10200,1,0001,0001,수내로,41135,3180039,00,0,00039,00000,수내동,분당지웰푸르지오,1-1,96.2054,2025,6,27,232000,13,2022,41135-607,None,None,중개거래,경기 성남시 분당구,25.09.11,102,개인,개인,N
41135,10700,1,0330,0000,장미로,41135,3180048,01,0,00055,00000,야탑동,장미마을(동부),330,84.99,2025,6,23,130000,10,1993,41135-137,None,None,중개거래,경기 성남시 분당구,25.10.10,110,개인,개인,N
41135,10200,1,0075,0000,백현로,41135,3180022,01,0,00227,00000,수내동,푸른마을(쌍용),75,163.83,2025,6,10,190000,20,1992,41135-80,None,None,중개거래,경기 성남시 분당구,25.08.27,510,개인,개인,N
41135,10700,1,0330,0000,장미로,41135,3180048,01,0,00055,00000,야탑동,장미마을(코오롱)1,330,74.14,2025,6,25,99000,1,1993,41135-138,None,None,중개거래,"경기 성남시 분당구, 경기 성남시 중원구",25.09.30,126,개인,개인,N
41135,10500,1,0308,0000,불정로,41135,3180030,04,0,00362,00000,서현동,효자촌(럭키),308,53.82,2025,6,21,80000,1,1994,41135-107,None,None,중개거래,경기 성남시 분당구,25.09.30,624,개인,개인,N
41135,10700,1,0330,0000,장미로,41135,3180048,01,0,00055,00000,야탑동,장미마을(동부),330,131.73,2025,6,21,154500,8,1993,41135-137,O,25.09.05,중개거래,경기 성남시 분당구,None,None,개인,개인,N
41135,10300,1,0028,0001,성남대로,41135,2000005,02,0,00449,00000,정자동,로얄팰리스,28-1,244.49,2025,6,17,277000,30,2003,41135-70,O,25.07.21,중개거래,경기 성남시 분당구,None,None,개인,개인,N
