rnum,platPlc,sigunguCd,bjdongCd,platGbCd,bun,ji,mgmPmsrgstPk,bldNm,splotNm,block,lot,jimokCdNm,jiyukCdNm,jiguCdNm,guyukCd,guyukCdNm,jimokCd,jiyukCd,jiguCd,archGbCd,archGbCdNm,platArea,archArea,bcRat,totArea,vlRatEstmTotArea,vlRat,mainBldCnt,atchBldDongCnt,mainPurpsCd,mainPurpsCdNm,hhldCnt,hoCnt,fmlyCnt,totPkngCnt,stcnsSchedDay,stcnsDelayDay,realStcnsDay,archPmsDay,useAprDay,crtnDay
184,경기도 성남시 분당구 백현동 496번지,41135,11000,0,0496,0000,1089100060573, , , , ,대, , , , ,08, , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20190926, ,20220909
185,경기도 성남시 분당구 백현동 496번지,41135,11000,0,0496,0000,108913039,., , , ,잡종지,보전녹지지역, , , ,28,1310, ,0100,신축,1335.0,261.62,19.6,261.62,261.62,19.6,1,0,03000,제1종근린생활시설,0,0,0,2,20020809, ,20020809,20010915,20050512,20220909
186,경기도 성남시 분당구 백현동 496번지,41135,11000,0,0496,0000,1089100060572,꽃달임, , , ,대,보전녹지지역, , , ,08,UQA410, ,0200,증축,1794.0,357.145,19.91,357.145,357.145,19.91,1,0,03000,제1종근린생활시설,0,0,0,0,20191005, ,20191018,20190926,20200313,20220909
187,경기도 성남시 분당구 백현동 496-1번지,41135,11000,0,0496,0001,1089100049299, , , , ,전,보전녹지지역, , , ,01,UQA410, , , ,1407.0,18.0,0.0,18.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20170714, ,20260609
188,경기도 성남시 분당구 백현동 496-3번지,41135,11000,0,0496,0003,1089100061453,백현동 496-3 제1종근린생활시설 (김남훈), , , ,잡종지,도시지역,비행안전제2구역(전술),UML200,하수처리구역,28,UQA001,UNE412,0100,신축,1183.0,232.16,19.62,498.89,281.15,23.77,1,0,03000,제1종근린생활시설,0,0,0,0, ,20221122, ,20191122, ,20220909
189,경기도 성남시 분당구 백현동 496-3번지,41135,11000,0,0496,0003,1089100076137, , , , ,잡종지,도시지역,비행안전제2구역(전술), , ,28,UQA001,UNE412, , ,1106.0,30.0,0.0,30.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20220513, ,20221017
190,경기도 성남시 분당구 백현동 496-7번지,41135,11000,0,0496,0007,1000000000000000505477, , , , ,대,도시지역, , , ,08,UQA001, , , ,477.0,48.0,0.0,0.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20240426, ,20240426
191,경기도 성남시 분당구 백현동 500번지,41135,11000,0,0500,0000,108912037, , , , ,잡종지,보전녹지지역, , , ,28,1310, ,0100,신축,477.0,94.08,19.72,188.16,94.08,19.72,1,0,04000,제2종근린생활시설,0,0,0,0,20020607,20020607,20020607,20000608, ,20220909
192,경기도 성남시 분당구 백현동 500-6번지,41135,11000,0,0500,0006,108913012,00 빌딩, , , ,잡종지,보전녹지지역, , , ,28,1310, ,0100,신축,890.0,164.64,18.5,493.02,493.02,55.4,1,0,03000,제1종근린생활시설,0,0,0,5,20020502, ,20020502,20010829, ,20220909
193,경기도 성남시 분당구 백현동 500-7번지,41135,11000,0,0500,0007,108912259,., , , ,잡종지,보전녹지지역, , , ,28,1310, ,0100,신축,985.0,185.55,18.84,493.58,461.4,46.84,1,0,04000,제2종근린생활시설,0,0,1,18,20020726,20020822,20020726,20000823,20040506,20220909
194,경기도 성남시 분당구 백현동 500-7번지,41135,11000,0,0500,0007,1089100065877,럭스카페빌딩, , , ,대,도시지역, ,UNE412, ,08,UQA001, ,0100,신축,1052.0,202.74,19.27,497.01,497.01,47.24,1,0,03000,제1종근린생활시설,0,3,0,0,20201023, ,20201021,20201007,20210818,20220909
195,경기도 성남시 분당구 백현동 500-8번지,41135,11000,0,0500,0008,108912102,백현음식점, , , ,잡종지,도시지역, , , ,28,0100, ,0100,신축,845.0,166.34,19.68,173.89,173.89,20.58,1,0,04000,제2종근린생활시설,0,0,0,2, ,20020713, ,20000714, ,20220909
196,경기도 성남시 분당구 백현동 500-8번지,41135,11000,0,0500,0008,108914610,백현동500-8근린생활시설, , , ,잡종지,보전녹지지역, , , ,28,1310, ,0100,신축,988.0,163.95,16.59,161.6,161.6,16.36,1,0,03000,제1종근린생활시설,0,0,0,3,20040824, ,20040824,20040630,20060511,20220909
197,경기도 성남시 분당구 백현동 500-9번지,41135,11000,0,0500,0009,1089100041168,백현동 500-9 제1종근린생활시설 (오명자), , , ,대,보전녹지지역, , , ,08,UQA410, ,0200,증축,1202.0,238.88,19.8735,625.53,625.53,52.0408,1,0,03000,제1종근린생활시설,0,0,0,0,20150428, ,20150429,20150408, ,20220909
198,경기도 성남시 분당구 백현동 500-9번지,41135,11000,0,0500,0009,108912011,., , , ,대,보전녹지지역, , , ,08,1310, ,0100,신축,1042.0,199.5,19.15,494.16,494.16,47.42,1,0,03000,제1종근린생활시설,0,0,0,3,20020513,20020511,20020513,20000512,20070110,20220909
199,경기도 성남시 분당구 백현동 500-9번지,41135,11000,0,0500,0009,108912103,., , , ,잡종지,보전녹지지역, , , ,28,1310, ,0100,신축,521.0,104.0,19.96,104.0,104.0,19.96,1,0,04000,제2종근린생활시설,0,0,0,0,20020713,20020713,20020713,20000714,20030701,20220909
200,경기도 성남시 분당구 백현동 500-13번지,41135,11000,0,0500,0013,108913011,., , , ,잡종지,보전녹지지역,기타지구,990,기타구역,28,1310,990,0100,신축,955.0,183.97,19.26,497.58,358.07,37.49,1,0,03000,제1종근린생활시설,0,0,0,0,20030827,20030828,20030827,20010829,20041129,20220909
