rnum,platPlc,sigunguCd,bjdongCd,platGbCd,bun,ji,mgmBldrgstPk,mgmUpBldrgstPk,bldgId,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,newPlatPlc,bldNm,splotNm,block,lot,bylotCnt,naRoadCd,naBjdongCd,naUgrndCd,naMainBun,naSubBun,jiyukCd,jiguCd,guyukCd,jiyukCdNm,jiguCdNm,guyukCdNm,crtnDay
87,경기도 성남시 분당구 백현동 403-4번지,41135,11000,0,0403,0004,10891100241008,10891100241004,2220131910000860,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 14-4 (백현동), , , , ,0,411354340050,11001,0,14,4, , , , , , ,20220909
88,경기도 성남시 분당구 백현동 403-4번지,41135,11000,0,0403,0004,10891100241010,10891100241004,2220131910000862,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 14-4 (백현동), , , , ,0,411354340050,11001,0,14,4, , , , , , ,20220909
89,경기도 성남시 분당구 백현동 403-4번지,41135,11000,0,0403,0004,10891100241009,10891100241004,2220131910000861,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 14-4 (백현동), , , , ,0,411354340050,11001,0,14,4, , , , , , ,20220909
90,경기도 성남시 분당구 백현동 403-4번지,41135,11000,0,0403,0004,10891100241006,10891100241004,2220131910000858,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 14-4 (백현동), , , , ,0,411354340050,11001,0,14,4, , , , , , ,20220909
91,경기도 성남시 분당구 백현동 403-6번지,41135,11000,0,0403,0006,10891262352,10891126635,2220041910110675,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 12-3 (백현동), , , , ,0,411354340050,11001,0,12,3, , , , , , ,20220909
92,경기도 성남시 분당구 백현동 403-6번지,41135,11000,0,0403,0006,10891262345,10891126635,2220041910110676,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 12-3 (백현동), , , , ,0,411354340050,11001,0,12,3, , , , , , ,20220909
93,경기도 성남시 분당구 백현동 403-6번지,41135,11000,0,0403,0006,10891262347,10891126635,2220041910110678,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 12-3 (백현동), , , , ,0,411354340050,11001,0,12,3, , , , , , ,20220909
94,경기도 성남시 분당구 백현동 403-6번지,41135,11000,0,0403,0006,10891262348,10891126635,2220041910110679,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 12-3 (백현동), , , , ,0,411354340050,11001,0,12,3, , , , , , ,20220909
95,경기도 성남시 분당구 백현동 403-6번지,41135,11000,0,0403,0006,10891262349,10891126635,2220041910110680,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 12-3 (백현동), , , , ,0,411354340050,11001,0,12,3, , , , , , ,20220909
96,경기도 성남시 분당구 백현동 403-6번지,41135,11000,0,0403,0006,10891262346,10891126635,2220041910110677,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 12-3 (백현동), , , , ,0,411354340050,11001,0,12,3, , , , , , ,20220909
97,경기도 성남시 분당구 백현동 403-6번지,41135,11000,0,0403,0006,10891262351,10891126635,2220041910110682,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 12-3 (백현동), , , , ,0,411354340050,11001,0,12,3, , , , , , ,20220909
